Nombre,Descripción,Imagen
Teclado,Entrada de texto,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
Ratón,Dispositivo apuntador,https://images.unsplash.com/photo-1519389950473-47ba0277781c
Monitor,Visualización de datos,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
Impresora,Impresión de documentos,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Escáner,Digitalización de documentos,https://images.unsplash.com/photo-1465101046530-73398c7f28ca
Altavoces,Salida de audio,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Micrófono,Entrada de audio,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Cámara web,Captura de video,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Joystick,Control de juegos,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Tableta gráfica,Dibujo digital,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Proyector,Proyección de imagen,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Lector de tarjetas,Lectura de tarjetas SD,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Disco duro externo,Almacenamiento adicional,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Memoria USB,Almacenamiento portátil,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Pantalla táctil,Interacción directa,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
